"","imdb_id","num_of_shows","attendees_per_show","avg_nth_day"
"1","tt0470752",3,111.041666666667,3
"2","tt0790636",4,114.875,10.5
"3","tt0816692",4,105.0625,7.25
"4","tt1065073",3,111.166666666667,12.6666666666667
"5","tt1126590",1,105.5,14
"6","tt1229340",2,98.125,3.5
"7","tt1392190",7,110.446428571429,6.42857142857143
"8","tt1430132",1,97,0
"9","tt1571249",2,101.1875,8
"10","tt1579361",4,135.666666666667,2.66666666666667
"11","tt1663662",1,100,1
"12","tt1706620",3,101.083333333333,7
"13","tt1790885",1,96,1
"14","tt1791528",5,103.95,17.8
"15","tt1798709",1,99.375,8
"16","tt1817273",1,100.166666666667,1
"17","tt1853728",1,104.5,15
"18","tt1865505",1,96.375,2
"19","tt1935179",1,119.5,1
"20","tt1978480",1,133,0
"21","tt2005276",2,143.45,0.5
"22","tt2013293",2,107.2,3
"23","tt2015381",3,104.541666666667,14
"24","tt2024544",4,103.59375,26.5
"25","tt2042568",1,103.5,9
"26","tt2053463",1,126,1
"27","tt2064713",3,116.625,3
"28","tt2180411",1,100,2
"29","tt2215151",1,106,102
"30","tt2224026",1,100,3
"31","tt2245084",1,103.125,9
"32","tt2267968",1,117,2
"33","tt2267998",1,105,1
"34","tt2278388",4,97.90625,8
"35","tt2281587",1,121,9
"36","tt2293640",1,125,198
"37","tt2294629",2,96.75,8
"38","tt2294677",1,100,8
"39","tt2305051",1,107.625,0
"40","tt2321549",3,103.291666666667,15.6666666666667
"41","tt2326554",2,105,10
"42","tt2334873",2,98,39.5
"43","tt2350432",1,189.666666666667,0
"44","tt2379713",1,96,14
"45","tt2381111",1,106.75,0
"46","tt2395155",1,148,0
"47","tt2446980",1,121.625,0
"48","tt2452042",2,98.75,20.5
"49","tt2545088",1,123.2,117
"50","tt2582496",1,110,0
"51","tt2582802",1,99.5,0
"52","tt2788710",3,138.7,0.5
"53","tt2788716",1,126.625,0
"54","tt2802144",1,95,6
"55","tt2870648",4,97.1875,9
"56","tt2872718",2,104.5,29
"57","tt2872732",1,125.5,8
"58","tt2910274",1,103,8
"59","tt3076658",3,113.416666666667,17
"60","tt3079380",3,107.583333333333,12.3333333333333
"61","tt3162938",1,112,0
"62","tt3170832",2,106.125,92
"63","tt3416742",3,116.791666666667,19.3333333333333
"64","tt3460252",2,116.3125,11.5
"65","tt3659388",7,104.303571428571,27.8571428571429
"66","tt3850214",7,115.321428571429,9.42857142857143
"67","tt4044364",1,95.75,2
